id,year,week,season,team,pf,pa,opp,win,loss
233,2014,6,r,Timmy,118,122,Billy,0,1
234,2014,6,r,DenR,76,125,Rose,0,1
235,2014,6,r,Chad,94,90,Fig,1,0
236,2014,6,r,The Boo,157,72,Taylor,1,0
237,2014,6,r,Frankie,98,99,AJ,0,1
238,2014,6,r,Big Boy,147,108,Nordy,1,0
239,2014,7,r,DenR,120,134,Billy,0,1
240,2014,7,r,Chad,96,157,Rose,0,1
241,2014,7,r,The Boo,111,85,Fig,1,0
242,2014,7,r,Frankie,78,143,Taylor,0,1
243,2014,7,r,Big Boy,121,103,AJ,1,0
244,2014,7,r,Timmy,84,76,Nordy,1,0
245,2014,7,r,Billy,134,120,DenR,1,0
246,2014,7,r,Rose,157,96,Chad,1,0
247,2014,7,r,Fig,85,111,The Boo,0,1
248,2014,7,r,Taylor,143,78,Frankie,1,0
249,2014,7,r,AJ,103,121,Big Boy,0,1
250,2014,7,r,Nordy,76,84,Timmy,0,1
251,2014,8,r,Billy,148,160,Chad,0,1
252,2014,8,r,Rose,166,151,The Boo,1,0
253,2014,8,r,Fig,97,110,Frankie,0,1
254,2014,8,r,Taylor,121,120,Big Boy,1,0
255,2014,8,r,AJ,110,141,Timmy,0,1
256,2014,8,r,Nordy,66,76,DenR,0,1
257,2014,8,r,Chad,160,148,Billy,1,0
258,2014,8,r,The Boo,151,166,Rose,0,1
259,2014,8,r,Frankie,110,97,Fig,1,0
260,2014,8,r,Big Boy,120,121,Taylor,0,1
261,2014,8,r,Timmy,141,110,AJ,1,0
262,2014,8,r,DenR,76,66,Nordy,1,0
263,2014,9,r,The Boo,116,99,Billy,1,0
264,2014,9,r,Frankie,112,118,Rose,0,1
265,2014,9,r,Big Boy,101,107,Fig,0,1
266,2014,9,r,Timmy,104,101,Taylor,1,0
267,2014,9,r,DenR,145,101,AJ,1,0
268,2014,9,r,Chad,149,87,Nordy,1,0
269,2014,9,r,Billy,99,116,The Boo,0,1
270,2014,9,r,Rose,118,112,Frankie,1,0
271,2014,9,r,Fig,107,101,Big Boy,1,0
272,2014,9,r,Taylor,101,104,Timmy,0,1
273,2014,9,r,AJ,101,145,DenR,0,1
274,2014,9,r,Nordy,87,149,Chad,0,1
275,2014,10,r,Billy,127,102,Frankie,1,0
276,2014,10,r,Rose,157,123,Big Boy,1,0
277,2014,10,r,Fig,141,85,Timmy,1,0
278,2014,10,r,Taylor,109,166,DenR,0,1
279,2014,10,r,AJ,113,103,Chad,1,0
280,2014,10,r,Nordy,122,113,The Boo,1,0
281,2014,10,r,Frankie,102,127,Billy,0,1
282,2014,10,r,Big Boy,123,157,Rose,0,1
283,2014,10,r,Timmy,85,141,Fig,0,1
284,2014,10,r,DenR,166,109,Taylor,1,0
285,2014,10,r,Chad,103,113,AJ,0,1
286,2014,10,r,The Boo,113,122,Nordy,0,1
287,2014,11,r,Big Boy,59,90,Billy,0,1
288,2014,11,r,Timmy,87,141,Rose,0,1
289,2014,11,r,DenR,114,95,Fig,1,0
290,2014,11,r,Chad,124,76,Taylor,1,0
291,2014,11,r,The Boo,139,35,AJ,1,0
292,2014,11,r,Frankie,86,117,Nordy,0,1
293,2014,11,r,Billy,90,59,Big Boy,1,0
294,2014,11,r,Rose,141,87,Timmy,1,0
295,2014,11,r,Fig,95,114,DenR,0,1
296,2014,11,r,Taylor,76,124,Chad,0,1
297,2014,11,r,AJ,35,139,The Boo,0,1
298,2014,11,r,Nordy,117,86,Frankie,1,0
299,2014,12,r,Timmy,105,79,Billy,1,0
300,2014,12,r,DenR,99,167,Rose,0,1
301,2014,12,r,Chad,138,125,Fig,1,0
302,2014,12,r,The Boo,105,97,Taylor,1,0
303,2014,12,r,Frankie,96,102,AJ,0,1
304,2014,12,r,Big Boy,116,99,Nordy,1,0
305,2014,12,r,Billy,79,105,Timmy,0,1
306,2014,12,r,Rose,167,99,DenR,1,0
307,2014,12,r,Fig,125,138,Chad,0,1
308,2014,12,r,Taylor,97,105,The Boo,0,1
309,2014,12,r,AJ,102,96,Frankie,1,0
310,2014,12,r,Nordy,99,116,Big Boy,0,1
311,2014,13,r,Billy,145,96,DenR,1,0
312,2014,13,r,Rose,144,193,Chad,0,1
313,2014,13,r,Fig,111,112,The Boo,0,1
314,2014,13,r,Taylor,78,159,Frankie,0,1
